collection,name,price,img
Spread Sauce & Jam,Mulberry Jam (190g) 桑椹果酱,RM20.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/c8e091772ebf6dff7bcd675bb89cb52d_large.jpg?v=1595485900
Spread Sauce & Jam,Olive Vegetable 橄榄菜 320g,RM12.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/2fcb275f778c7fc7f60e9482b8141973_large.jpg?v=1633512269
Spread Sauce & Jam,Spicy Sauce 麻辣醬 250g,RM36.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/60730017-S_large.jpg?v=1634545896
Spread Sauce & Jam,Black Sesame Paste (240g) 黑芝麻酱 (240g),RM28.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/787dab9b12d5e92bad271c326a855c13_large.jpg?v=1597392085
Spread Sauce & Jam,Blueberry Jam (210g) 蓝莓果酱,RM30.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/07e5e37b9490ef4e1bb8bce91fe44d76_large.jpg?v=1595483156
Beverage,Brown Rice Coffee *Sugar Less (18x30gram) 糙米咖啡,RM32.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/brownricecoffee_large.jpg?v=1668059041
Beverage,Yes Natural Teh Tarik 悦意拉茶 30g x 12,RM23.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WhatsAppImage2021-11-10at10.18.47AM_large.jpg?v=1668052763
Beverage,Original Flavor Oat-Soy Drink (Sugar Free) (850g) 原味燕麦奶 (无糖) (850g),RM89.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_61300000_hqjz7_tw_large.jpg?v=1654587435
Beverage,Oat Soy Drink (1000g) 植物燕麦奶 (1000g),RM89.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_61300001_7nfio_tw_large.jpg?v=1654740518
Beverage,有机芝麻燕麦奶 Organic Oats Drink Sesame Flavor (900g),RM89.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/34847c580996a695ed1bb76dcd38af35_large.jpg?v=1624261107
Beverage,Original Soybean Powder 悦意醇豆浆粉 300g,RM18.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/Picture3_large.png?v=1651123814
Beverage,Lz Grass Jelly - (340g) 仙草冻,RM8.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/95aaa15af2a5be2c9b1bb99391a29afc_large.jpg?v=1619503581
Beverage,Honey Herbal Jelly 里仁仙草蜜 330g,RM8.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_6107000610_zvw2a_tw_large.jpg?v=1654574691
Beverage,Chrysanthemum Tea (360ml) 菊花茶,RM6.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/a73608dd5d9ce49ad5dc0ada2a94bfea_large.jpg?v=1651125609
Beverage,Ginseng Date Tea (360ml) 人参蜜枣茶,RM6.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/e0c6dc5c827bd526ab2433671d4780f6_large.jpg?v=1595321218
Beverage,Organic Black Soy Milk(450ml) 有机黑豆浆,RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/d9be16756adb2172b076eb7053224258_large.jpg?v=1595399892
Beverage,原力酿有机洛神酵醋,RM129.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_6dd352b1-ed06-4f41-ab09-dc4f5fdef793_large.png?v=1664638109
Beverage,Organic Kanten Winter Melon Drink 有机寒天黑糖冬瓜饮,RM5.60MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/white-bg-_-shadow-designify_large.png?v=1650077286
Beverage,Preventive Tea (Herbs Pack)     防疫茶（草药包装）,RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WeChat_Image_20220113102422-removebg-preview_1_large.png?v=1642055738
Beverage,Detoxification herb pack (Chinese Medicine ) (Only Suitable for COVID-19)（1pack）清肺排毒汤 (药材) （仅适用于 COVID-19）,RM22.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WhatsAppImage2021-02-01at13.37.30_large.jpg?v=1620288347
Beverage,Black Malz (250ml) 黑麦汁,RM6.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/12_large.png?v=1661427999
Beverage,Organic Grain Dessert (320g) 有机绿豆汤,RM8.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/3ae611d529610c3fc3aeadb12ceec7f9_large.jpg?v=1597392777
Beverage,Organic Purple Rice Congee (320ml) 有机紫米八宝粥,RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/OrganicPurpleRiceCongee_320ml_large.jpg?v=1603513134
Beverage,Wendan Pomelo Tea (420g) 文旦柚茶,RM42.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/3_c73dd72d-e5d7-4bee-9b4f-f8b76dfe704c_large.jpg?v=1599636837
Beverage,Burdock Herbal Tea (160g) 牛蒡茶,RM38.20MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/BurdockHerbalTea_large.png?v=1602754774
Paste & Seasonings,Sweetened Chili Sauce 香醇甜辣醬 (220g),RM23.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/220g_large.jpg?v=1595489624
Paste & Seasonings,Natural Chili Padi Sauce (500ml) 天然山椒醬,RM21.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/NaturalChiliPadiSauce_500ml__jpg_large.png?v=1605452920
Paste & Seasonings,Organic Ketchup 有機蕃茄醬 (270g),RM29.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/OrganicKetchup270g_large.jpg?v=1600161631
Paste & Seasonings,Sesame Oil & Angelica Sauce 麻油當歸醬 250g,RM49.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/f899343feb71a3c7dda03c9789bc1328_large.jpg?v=1595304681
Paste & Seasonings,Broad Bean Paste With Chili 非基因改造辣豆瓣醬(165g)　,RM24.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/1_5284de38-8ec6-4c2e-b337-958ff3aea069_large.jpg?v=1595490982
Paste & Seasonings,Nori Paste (150g) 海苔酱,RM16.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/7fc7e5ac3361e7f8265d06473c3c5d81_large.jpg?v=1595491789
Paste & Seasonings,Toona Sauce 香椿拌酱  (250g),RM35.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/e05816fe65c5d7831108be58ba38c764_large.jpg?v=1595490038
Paste & Seasonings,Black Vinegar (L) (600ml) 素食烏醋　(600ml ),RM13.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/600ml_large.jpg?v=1600161179
Paste & Seasonings,Vegetarian Black Vinegar (s) (300ml),RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/300mlVegetarianBlackVinegar_s_300ml_large.jpg?v=1600161129
Paste & Seasonings,Black Bean Sauce (385g)　壺底豆豉,RM23.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_80682ea8-3a0f-4488-8b10-6f8ad3c25b34_large.jpg?v=1654677956
Paste & Seasonings,Yuan-Ho Premium Soy Sauce (420ml) 源和高级清油,RM39.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/1_2c0622a0-25c6-4e2e-b53f-44e2f76152f0_large.jpg?v=1597032142
Paste & Seasonings,Brewing Soy Sauce （500ml）,RM22.60MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/359390d62b3cf061fd9d8aa82e0a607a_large.jpg?v=1599639939
Paste & Seasonings,Organic Vegetarian Spaghetti Tomato Sauce 有机素食意面番茄酱 120g,RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/df5c037ac1d7c31969d9295f44f445cd_large.jpg?v=1599621294
Paste & Seasonings,Mushroom Seasoning 桂夫人香菇风味调味粉（120g）,RM15.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/menueditor_item_a711a3642c054d2ab6181232a8e71e19_1622266419774265882_large.jpg?v=1641968752
Paste & Seasonings,Vegetables Seasoning 桂夫人蔬菜风味调味粉（120g）,RM15.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/MadamKooiVegetableSeasoning_120gm-500x500_large.jpg?v=1641968682
Paste & Seasonings,Madam Kooi Seaweed Mushroom Stock 贵妇人海带香菇调味块 (66g),RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/SeaweedMushroomStock_66g_large.png?v=1605453018
Paste & Seasonings,Organic Vegetables Mushroom Soy Sauce 有機素蠔油 500ml,RM55.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/8c41ac86e086ac8bd3fc5a3ee82be558_large.jpg?v=1597040434
Paste & Seasonings,Organic Low Salt Soybean Soy Sauce (500ml) 有機黃豆薄鹽醬油,RM47.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/500ml_large.jpg?v=1597039932
Paste & Seasonings,Hot Bamboo Shoot (410g) 里仁玉香筍,RM29.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/a719287953efd58676205db100e5a46b_large.jpg?v=1595651825
Paste & Seasonings,Ginger Sesame Oil Sauce (220g) 姜油,RM54.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/c16463c49d5dd9a1bf892a7e49939090_large.jpg?v=1625709288
Health Snacks,Hawthorn Article (260g)  山楂条,RM14.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/HawthornArticle260g_large.jpg?v=1668057769
Health Snacks,Brown Rice Puff (300g) 糙米米果,RM21.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WhatsAppImage2021-11-16at12.35.35PM_large.jpg?v=1637040303
Health Snacks,Shortbread 苏格兰乳酥餅,RM29.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_photo_20210726164101_35c_tw_large.jpg?v=1640162134
Health Snacks,Rice Crackers 米饼 (280g),RM25.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/4f8801ccce21c6707e6ee610b3fe4ce1_large.jpg?v=1653282540
Health Snacks,Wheat Germ Crackers 胚芽饼 (320g),RM25.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/1_ff8b8473-5067-4e8d-b81e-d0a02fd5956d_large.jpg?v=1625709356
Health Snacks,Wheat Bran Saltine Cracker 麥麩苏打饼  (400g),RM26.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_61100049_rwaxs_tw_large.jpg?v=1661427229
Health Snacks,Wheat Germ Cracker 胚芽饼 (600g),RM36.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_61100005_oc91h_tw_large.jpg?v=1653282493
Health Snacks,Salted Cashew Wafers 腰果鹹醬夾心酥 (400g),RM38.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/bb5cc877bd24e8e6aebd0f4277009ebf_large.jpg?v=1595320399
Health Snacks,Chocolate Cream Wafers (400g) 巧克力夾心酥,RM34.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/ChocolateCreamWafers_400g_large.jpg?v=1651125314
Health Snacks,Hawthorn+Plum (130g) 佳合梅子仙楂果,RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/3fdfb870233b73503a9b773969148f1c_large.jpg?v=1596430788
Health Snacks,Seaweed Sheets (12g*4)(260g),RM31.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_61410005_ccdl9_tw_large.jpg?v=1655260166
Health Snacks,Sesame Crisp 方块酥 (300g),RM16.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/62b3c2f9b28daeb3800a4aaef9b98e32_large.jpg?v=1651125197
Health Snacks,Cheerful Cracker 吉福小饼 (115g),RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/ffa40a59043b9163b60e7357fcbb771c_large.jpg?v=1651123909
Health Snacks,Organic Chestnut (80g),RM10.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/shenli_large.jpg?v=1602234825
Health Snacks,Herb Lozenges (150g) 草本喉糖,RM29.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/f89f9c63287111eab4535cc192b34a8a_large.jpg?v=1596432778
Health Snacks,Plum Candy (100g),RM14.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/561f7fd800cd2c4723c130a4f06e74a9_large.jpg?v=1596431438
Health Snacks,BROWN RICE CRACKERS 糙米香,RM6.70MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_5415fa6f-1ccd-4c01-8fd2-7008911ffda2_large.jpg?v=1635151689
Health Snacks,Soda Cracker,FromRM17.50MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_c18f771d-9cd8-418a-a2af-b48232aca550_large.jpg?v=1635154147
Health Snacks,Supreme Quality Natural & Organic Fruits & Nuts Full Meal,RM21.50MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_30957f6e-1373-4519-913e-3e6f79d8ec80_large.jpg?v=1635153312
Health Snacks,Leezen Dark Chocolate 里仁70%黑巧克力,RM39.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_61110051_jys3t_tw_large.jpg?v=1655260490
Health Supplement,原力酿有机洛神酵醋,RM129.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_6dd352b1-ed06-4f41-ab09-dc4f5fdef793_large.png?v=1664638109
Health Supplement,Tiger Milk Mushroom 虎乳芝 50g,FromRM189.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_e70b79b2-346c-40df-954d-2e419921567f_large.jpg?v=1651824185
Health Supplement,Yes Natural Three Treasure High- Fibre Oat Powder + Tiger Milk Mushroom 悦意三宝粉 + 虎乳芝,RM230.00MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WhatsAppImage2022-03-29at9.55.04AM_large.jpg?v=1648543750
Health Supplement,Red Beauty Plant Essence Beverage 悦意红颜植粹饮 450ml,FromRM112.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WhatsAppImage2022-04-28at12.10.44PM_large.jpg?v=1668059245
Health Supplement,Liver Pro® 2.0,RM728.00MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/liverpro_large.png?v=1668059404
Health Supplement,Minty Basil Enzyme Coughing Syrup (60ml),RM17.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WhatsAppImage2021-10-05at4.54.22PM_large.jpg?v=1633506867
Health Supplement,Organic Minty Basil Enzyme Coughing Syrup (300ml),RM83.50MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_2bf1e2de-439d-4af5-9b8c-1ce3c7828e52_large.jpg?v=1638411791
Health Supplement,Blossom Care Premium 100% Pure MCT Oil (250ml),RM68.00MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/BlossomCarePremium100_PureMCTOil_250ml_large.png?v=1602751727
Health Supplement,Bri - Green Papaya Powder （90g）,RM95.00MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/brigreenpapayaenzyme_large.jpg?v=1603014023
Health Supplement,Titi Eco Farm - Green Papaya Powder （Enzyme） 36sachet/BOX,RM119.00MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/titiecofarmgreenpapayaenzyme2_jpg_large.png?v=1603014559
Health Supplement,Titi Eco Farm - Green Papaya Powder (Enzyme) 75g,RM119.00MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/titiecofarmgreenpapayaenzyme_large.jpg?v=1603014667
Health Supplement,Black sesame powder (250g) 黑芝麻粉（250g）,RM25.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WhatsAppImage2021-04-13at13.00.41_1_large.jpg?v=1618292049
Health Supplement,Oat Soy Drink (1000g) 植物燕麦奶 (1000g),RM89.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/product_spec1photo_61300001_7nfio_tw_large.jpg?v=1654740518
Health Supplement,Composite Protein Powder (900g) 综合蛋白补充饮,RM138.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/900g_large.jpg?v=1597308908
Health Supplement,Super Lutein Capsule 里仁高優活金盞花萃取物葉黃素膠囊 (60粒),RM168.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/ece048f2595194d79372ef5a40c34321_large.jpg?v=1654574545
Noodles & Pasta,Sesame Oil & Angelica Sinensis Noodles (800g) 麻油当归细面,RM43.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/aba3bfffee1207dfe66dac68e8a5eae0_large.jpg?v=1595322213
Noodles & Pasta,Sesame oil Angelica & Sinensis Instant noodle (100g) 麻油当归冲泡面,RM7.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/be7c060d189e3442082595a5288ce8d7_large.jpg?v=1595655769
Noodles & Pasta,Instant Brown Rice Noodle (78g) 冲泡糙米米粉,RM7.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/198748a3af94d52ebb7c71a9172f8697_large.jpg?v=1595654516
Noodles & Pasta,Hot & Sour Instant Noodles (85g) 酸辣面,RM7.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WechatIMG121-removebg-preview_large.png?v=1656394292
Noodles & Pasta,Dry Noodles with Bean Paste (90g) 炸酱面,RM7.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/f1a63a3660c0d9687e909d129f4ebe56_large.jpg?v=1595655436
Noodles & Pasta,Miso Instant Noodle (95g) 味噌冲泡面,RM7.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/7dc7c4cc2a71948e9da29d9abfc59b82_large.jpg?v=1595654804
Noodles & Pasta,Vegetable Ramen 蔬菜拉面 (400g),RM19.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/WechatIMG123-removebg-preview_large.png?v=1656404067
Noodles & Pasta,Steam tomato flavor noodles  (420g) 番茄拉面,RM19.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/853787788f17de30ccee4385794c0dbc_large.jpg?v=1661427469
Noodles & Pasta,Slice Style Noodle   (340g) 刀削面,RM14.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/bcc5f29179d926849d24ea5032cda84a_large.jpg?v=1599643417
Noodles & Pasta,Moroheiya Noodle (Yakisoba) - (85g),RM6.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/MoroheiyaNoodle_Yakisoba_-85g_large.jpg?v=1605452732
Noodles & Pasta,Bean Vermicelli (180g) 龙口细粉,RM17.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/BeanVermicelli180g_large.jpg?v=1668057341
Noodles & Pasta,Broad Bean Thread Flat（180g）龙口小宽粉,RM17.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/BroadBeanThreadFlat180g_large.jpg?v=1668057505
Noodles & Pasta,Moroheiya Noodle (Shitake) - (85g),RM6.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/MoroheiyaNoodle_Shitake_-75g_large.jpg?v=1600181218
Noodles & Pasta,Instant Veggie Porridge (350g) 野菜糙米粥,RM35.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/c16e324898cf0195bbe902b25c4d4d8c_large.jpg?v=1595653117
Noodles & Pasta,Moroheiya Noodle Plain (200g),RM9.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/HL-MoroheiyaNoodlePlain200g_large.jpg?v=1600164159
Noodles & Pasta,Moroheiya noodles (Tomyam) -85g,RM6.90MYR,//cdn.shopify.com/s/files/1/0415/3573/3919/products/image_9df86acc-6e03-4bb5-90e5-953bb98f74de_large.jpg?v=1633511646
